datetime,temperature,predicted_demand_10000kW
2026-09-18 00:00:00,19.9,2382.884025150521
2026-09-18 01:00:00,19.6,2253.1290712877185
2026-09-18 02:00:00,19.4,2231.9209873046293
2026-09-18 03:00:00,19.2,2232.8880664714147
2026-09-18 04:00:00,19.1,2260.1272503056266
2026-09-18 05:00:00,19.0,2303.8485481709395
2026-09-18 06:00:00,19.1,2427.3546164881013
2026-09-18 07:00:00,19.6,2667.6379188137735
2026-09-18 08:00:00,20.2,2888.6848852391136
2026-09-18 09:00:00,20.6,3090.1784972836635
2026-09-18 10:00:00,21.0,3160.6408799212604
2026-09-18 11:00:00,21.6,3265.6336795150073
2026-09-18 12:00:00,22.1,3176.6897421509193
2026-09-18 13:00:00,22.6,3200.4689904799834
2026-09-18 14:00:00,22.9,3230.329166357446
2026-09-18 15:00:00,22.8,3238.6872429475998
2026-09-18 16:00:00,22.4,3258.9069919099456
2026-09-18 17:00:00,22.0,3172.05006011749
2026-09-18 18:00:00,21.7,3138.113474650361
2026-09-18 19:00:00,21.4,3044.2705430395326
2026-09-18 20:00:00,21.3,2927.33544409854
2026-09-18 21:00:00,20.9,2733.0568178244416
2026-09-18 22:00:00,20.9,2647.4217409483695
2026-09-18 23:00:00,21.0,2529.07026479221
